Student_ID,Gender,Study_Hours_per_Week,Attendance_Percentage,Sleep_Hours_Per_Night,Internet_Access_at_Home,Previous_Exam_Score,Extracurricular_Activities,Final_Exam_Score,Pass_Fail
S0134,Female,34,60,7.6,No,35,Yes,43,Fail
S0135,Female,22,50,8.3,Yes,44,No,41,Fail
S0136,Female,32,91,8.4,No,43,Yes,52,Pass
S0137,Female,32,79,7.7,No,100,No,68,Pass
S0138,Female,37,80,6.0,Yes,50,Yes,65,Pass
S0139,Female,5,73,7.2,No,65,Yes,42,Fail
S0140,Male,26,67,6.0,Yes,74,No,63,Pass
S0141,Female,37,62,7.2,No,75,Yes,63,Pass
S0142,Male,6,58,6.1,No,67,Yes,43,Fail
S0143,Female,15,55,4.9,No,67,No,37,Fail
S0144,Male,35,62,6.2,Yes,86,No,57,Pass
S0145,Female,8,72,7.9,Yes,39,Yes,25,Fail
S0146,Male,7,72,7.2,Yes,96,Yes,49,Fail
S0147,Male,39,91,6.1,No,52,No,71,Pass
S0148,Female,10,55,6.0,No,61,Yes,48,Fail
S0149,Female,29,50,8.0,Yes,87,Yes,53,Pass
S0150,Female,7,60,4.7,No,64,No,40,Fail
S0151,Female,27,96,6.1,No,100,Yes,63,Pass
S0152,Male,22,64,8.1,Yes,84,No,61,Pass
S0153,Female,15,54,8.7,No,37,No,29,Fail
S0154,Female,32,99,6.4,Yes,90,Yes,75,Pass
S0155,Female,13,71,9.5,No,75,Yes,56,Pass
S0156,Male,24,70,8.8,No,49,Yes,52,Pass
S0157,Male,36,77,8.0,No,58,No,51,Pass
S0158,Female,20,51,5.9,No,73,Yes,58,Pass
S0159,Male,36,96,7.6,No,55,Yes,64,Pass
S0160,Female,7,71,6.6,Yes,69,No,50,Pass
S0161,Male,17,88,6.7,Yes,51,No,44,Fail
S0162,Male,24,61,4.7,Yes,87,No,45,Fail
S0163,Male,33,74,5.8,Yes,100,Yes,69,Pass
S0164,Female,28,51,8.8,No,74,No,52,Pass
S0165,Male,13,65,6.4,No,53,Yes,34,Fail
S0166,Male,15,82,8.2,No,43,Yes,47,Fail
S0167,Male,36,74,6.1,Yes,90,Yes,73,Pass
S0168,Male,8,86,8.8,No,57,Yes,51,Pass
S0169,Male,33,89,9.3,No,74,Yes,75,Pass
S0170,Male,38,72,6.2,No,44,No,58,Pass
S0171,Female,12,72,6.9,Yes,71,No,56,Pass
S0172,Female,10,55,5.2,No,30,No,19,Fail
S0173,Female,30,83,8.7,No,94,Yes,74,Pass
S0174,Female,13,78,6.1,No,33,Yes,41,Fail
S0175,Female,39,74,7.0,No,62,Yes,54,Pass
S0176,Female,12,65,6.4,No,39,Yes,26,Fail
S0177,Female,27,83,5.5,No,49,No,51,Pass
S0178,Female,10,59,7.4,No,67,Yes,33,Fail
S0179,Male,8,96,7.7,No,44,Yes,38,Fail
S0180,Female,24,50,4.5,Yes,38,No,33,Fail
S0181,Female,40,100,8.8,No,55,Yes,62,Pass
S0182,Female,33,66,7.0,Yes,96,No,64,Pass
S0183,Male,16,97,9.0,No,98,No,54,Pass
S0184,Male,16,82,8.9,Yes,55,Yes,43,Fail
S0185,Male,6,65,4.9,Yes,36,Yes,26,Fail
S0186,Male,33,56,9.2,Yes,44,Yes,48,Fail
S0187,Female,34,53,6.1,No,45,Yes,40,Fail
S0188,Female,28,55,5.7,No,68,No,51,Pass
S0189,Female,19,95,8.5,Yes,71,Yes,64,Pass
S0190,Female,34,78,5.9,Yes,84,No,77,Pass
S0191,Male,38,96,8.3,Yes,46,Yes,68,Pass
S0192,Female,14,64,5.2,No,56,No,32,Fail
S0193,Female,37,58,9.2,Yes,61,Yes,67,Pass
S0194,Female,11,100,9.5,No,45,Yes,33,Fail
S0195,Male,37,91,7.5,No,51,Yes,70,Pass
S0196,Female,10,80,5.7,No,87,No,52,Pass
S0197,Female,24,58,9.0,Yes,85,No,58,Pass
S0198,Male,21,75,7.6,No,97,Yes,66,Pass
S0199,Female,40,81,7.9,No,50,No,58,Pass
S0200,Male,27,82,8.6,No,45,No,51,Pass
S0201,Male,34,75,9.2,No,34,No,53,Pass
S0202,Male,14,72,7.5,No,95,Yes,56,Pass
S0203,Male,8,56,9.5,Yes,33,No,28,Fail
S0204,Male,18,66,6.1,Yes,94,No,60,Pass
S0205,Male,32,52,7.7,No,60,Yes,43,Fail
S0206,Female,24,94,8.1,Yes,42,Yes,58,Pass
S0207,Female,21,64,6.6,Yes,72,Yes,59,Pass
S0208,Male,38,85,8.5,No,72,No,70,Pass
S0209,Female,22,64,8.5,No,99,No,57,Pass
S0210,Male,11,54,9.2,No,51,Yes,38,Fail
S0211,Female,38,90,5.5,Yes,90,Yes,82,Pass
S0212,Female,9,91,8.5,No,48,No,41,Fail
S0213,Female,28,97,9.2,Yes,34,Yes,46,Fail
S0214,Female,21,70,5.7,No,87,Yes,68,Pass
S0215,Female,18,72,5.6,No,90,Yes,68,Pass
S0216,Female,15,77,7.7,Yes,39,Yes,41,Fail
S0217,Male,35,93,7.4,No,70,Yes,61,Pass
S0218,Female,28,69,5.9,Yes,33,Yes,38,Fail
S0219,Male,30,70,9.2,Yes,51,No,44,Fail
S0220,Male,7,63,8.0,Yes,84,No,55,Pass
S0221,Female,11,62,9.1,Yes,65,Yes,41,Fail
S0222,Male,22,72,8.2,Yes,65,Yes,47,Fail
S0223,Male,18,63,7.1,No,91,No,53,Pass
S0224,Female,11,52,4.6,Yes,84,No,50,Pass
S0225,Female,18,88,6.4,Yes,67,Yes,54,Pass
S0226,Male,6,78,8.9,No,53,Yes,29,Fail
S0227,Male,37,71,9.5,Yes,77,Yes,66,Pass
S0228,Female,32,92,7.2,No,83,Yes,60,Pass
S0229,Male,5,86,9.2,Yes,98,No,54,Pass
S0230,Female,21,100,8.1,No,62,No,49,Fail
S0231,Female,22,64,5.5,Yes,44,Yes,48,Fail
S0232,Female,23,65,4.7,Yes,38,No,40,Fail
S0233,Female,39,56,7.8,Yes,35,Yes,57,Pass
S0234,Male,31,68,7.1,No,84,Yes,63,Pass
S0235,Female,24,97,8.9,Yes,93,Yes,62,Pass
S0236,Male,39,52,5.6,Yes,96,No,67,Pass
S0237,Female,30,90,9.2,Yes,54,No,67,Pass
S0238,Male,33,100,5.0,No,35,No,49,Fail
S0239,Female,17,81,4.6,Yes,32,Yes,34,Fail
S0240,Male,10,68,4.8,Yes,91,Yes,41,Fail
S0241,Male,25,88,6.4,No,71,Yes,55,Pass
S0242,Male,8,61,8.5,No,63,Yes,35,Fail
S0243,Male,38,71,9.3,Yes,57,Yes,60,Pass
S0244,Male,40,64,9.2,Yes,59,No,70,Pass
S0245,Male,26,88,4.7,Yes,44,No,39,Fail
S0246,Male,40,78,6.1,Yes,56,Yes,66,Pass
S0247,Female,17,79,6.8,No,31,No,32,Fail
S0248,Male,15,81,5.0,Yes,77,No,60,Pass
S0249,Male,37,85,9.2,Yes,95,Yes,86,Pass
S0250,Male,14,73,8.1,Yes,97,No,57,Pass
S0251,Male,36,72,6.4,No,71,No,60,Pass
S0252,Male,22,71,8.5,Yes,99,Yes,67,Pass
S0253,Female,21,86,5.1,Yes,90,Yes,68,Pass
S0254,Female,13,54,7.5,No,75,Yes,48,Fail
S0255,Male,29,93,6.1,Yes,66,Yes,60,Pass
S0256,Female,15,67,8.4,Yes,84,No,45,Fail
S0257,Female,6,79,6.3,No,58,No,38,Fail
S0258,Male,5,51,5.6,No,45,No,33,Fail
S0259,Male,27,95,5.8,Yes,59,No,62,Pass
S0260,Male,11,69,7.5,No,40,No,44,Fail
S0261,Female,26,72,4.9,Yes,65,Yes,51,Pass
S0262,Female,30,90,6.7,Yes,57,Yes,51,Pass
S0263,Female,16,56,8.9,Yes,79,Yes,49,Fail
S0264,Male,15,86,5.7,No,31,Yes,46,Fail
S0265,Male,12,67,8.9,Yes,61,No,49,Fail
S0266,Male,33,92,4.7,Yes,81,Yes,62,Pass
S0267,Male,40,78,5.6,No,96,No,74,Pass
S0268,Male,13,54,6.9,No,38,Yes,28,Fail
S0269,Female,15,64,5.7,Yes,54,Yes,35,Fail
S0270,Male,17,79,5.5,Yes,87,No,57,Pass
S0271,Male,37,75,6.2,No,67,Yes,55,Pass
S0272,Female,38,58,6.6,Yes,37,No,42,Fail
S0273,Male,17,80,7.6,Yes,42,Yes,49,Fail
S0274,Female,11,73,6.9,Yes,40,Yes,28,Fail
S0275,Female,20,68,7.7,Yes,72,No,55,Pass
S0276,Female,20,56,9.3,No,65,Yes,55,Pass
S0277,Male,32,69,6.5,No,59,No,66,Pass
S0278,Male,29,99,5.6,Yes,94,Yes,69,Pass
S0279,Male,31,70,6.0,Yes,33,No,50,Pass
S0280,Female,33,54,8.5,No,94,Yes,64,Pass
S0281,Female,30,79,7.9,Yes,32,Yes,42,Fail
S0282,Female,40,64,7.1,No,74,Yes,61,Pass
S0283,Female,20,78,9.3,Yes,82,No,57,Pass
S0284,Female,21,89,7.8,No,90,No,63,Pass
S0285,Male,16,88,7.3,No,90,Yes,62,Pass
S0286,Female,6,52,9.2,Yes,99,No,58,Pass
S0287,Female,17,61,5.2,Yes,63,Yes,43,Fail
S0288,Male,24,72,8.6,Yes,78,No,51,Pass
S0289,Male,29,72,5.5,Yes,43,Yes,54,Pass
S0290,Male,31,89,8.1,Yes,55,No,49,Fail
S0291,Female,39,87,5.7,Yes,33,Yes,47,Fail
S0292,Male,34,53,7.8,Yes,68,Yes,50,Pass
S0293,Female,30,99,6.4,No,42,Yes,46,Fail
S0294,Female,32,80,4.5,No,30,No,42,Fail
S0295,Male,11,97,9.5,No,43,No,39,Fail
S0296,Male,6,87,8.1,Yes,87,No,45,Fail
S0297,Female,9,86,6.4,Yes,70,Yes,52,Pass
S0298,Male,8,92,8.7,Yes,35,No,38,Fail
S0299,Female,10,65,4.8,Yes,79,No,48,Fail
S0300,Female,20,94,7.5,No,74,No,59,Pass
S0301,Female,31,94,6.0,No,100,No,77,Pass
S0302,Male,31,68,8.8,No,97,No,71,Pass
S0303,Female,12,90,7.2,No,99,No,64,Pass
S0304,Female,9,54,6.8,Yes,60,No,43,Fail
S0305,Male,7,79,4.6,No,56,Yes,39,Fail
S0306,Male,27,93,6.7,Yes,47,No,43,Fail
S0307,Male,36,85,7.6,No,33,Yes,58,Pass
S0308,Male,9,94,4.7,No,49,Yes,38,Fail
S0309,Female,14,84,5.3,Yes,63,No,53,Pass
S0310,Male,31,75,9.0,No,91,No,65,Pass
S0311,Male,20,91,7.4,No,95,No,56,Pass
S0312,Female,6,56,7.8,No,52,No,34,Fail
S0313,Male,27,72,7.9,No,30,Yes,48,Fail
S0314,Female,24,88,8.0,Yes,91,Yes,65,Pass
S0315,Female,13,99,4.6,Yes,92,No,51,Pass
S0316,Male,28,66,7.3,Yes,74,Yes,50,Pass
S0317,Male,15,86,6.0,No,65,Yes,44,Fail
S0318,Male,37,63,8.4,Yes,60,Yes,65,Pass
S0319,Female,14,59,5.7,No,38,No,34,Fail
S0320,Female,25,83,5.1,Yes,40,No,48,Fail
S0321,Male,18,98,5.3,No,41,No,55,Pass
S0322,Female,9,66,6.5,Yes,44,No,41,Fail
S0323,Female,14,73,4.9,Yes,32,Yes,37,Fail
S0324,Female,10,63,5.1,Yes,91,No,52,Pass
S0325,Female,30,61,6.0,No,54,Yes,44,Fail
S0326,Female,16,100,7.3,No,56,No,49,Fail
S0327,Male,32,74,8.6,Yes,45,Yes,58,Pass
S0328,Female,40,61,5.6,Yes,93,Yes,65,Pass
S0329,Female,30,69,8.6,Yes,74,No,50,Pass
S0330,Male,31,79,9.4,Yes,68,No,55,Pass
S0331,Female,39,59,4.6,Yes,74,Yes,65,Pass
S0332,Female,19,64,8.1,Yes,42,Yes,44,Fail
S0333,Male,20,79,8.1,Yes,34,Yes,35,Fail
S0334,Female,15,97,5.0,Yes,39,No,45,Fail
S0335,Female,24,71,7.9,Yes,50,No,49,Fail
S0336,Male,12,63,5.8,No,39,Yes,36,Fail
S0337,Female,12,66,5.4,No,83,Yes,47,Fail
S0338,Female,33,85,5.9,No,62,Yes,59,Pass
S0339,Female,10,93,8.0,Yes,92,Yes,51,Pass
S0340,Female,8,56,7.1,No,48,Yes,36,Fail
S0341,Male,37,84,6.6,No,53,Yes,55,Pass
S0342,Female,5,87,7.5,Yes,55,Yes,49,Fail
S0343,Male,12,75,9.5,No,44,No,31,Fail
S0344,Male,5,66,6.5,Yes,87,Yes,56,Pass
S0345,Female,29,77,8.4,No,83,No,56,Pass
S0346,Female,35,91,8.6,No,41,Yes,60,Pass
S0347,Male,27,74,6.8,Yes,52,Yes,45,Fail
S0348,Male,35,89,4.9,Yes,86,Yes,69,Pass
S0349,Male,29,99,5.0,Yes,97,No,84,Pass
S0350,Male,23,84,6.5,Yes,69,No,47,Fail
S0351,Female,9,69,7.0,No,93,No,46,Fail
S0352,Male,32,83,8.6,Yes,97,Yes,64,Pass
S0353,Male,25,100,6.2,No,44,No,49,Fail
S0354,Female,35,83,7.9,No,80,No,71,Pass
S0355,Male,18,73,8.4,Yes,51,No,55,Pass
S0356,Male,38,57,7.0,Yes,79,Yes,68,Pass
S0357,Male,31,84,7.5,Yes,90,No,80,Pass
S0358,Female,13,71,9.2,Yes,78,No,59,Pass
S0359,Female,6,51,6.9,No,69,No,30,Fail
S0360,Female,40,80,6.0,Yes,68,Yes,72,Pass
S0361,Female,40,87,7.7,Yes,59,Yes,76,Pass
S0362,Male,28,82,7.4,No,88,No,58,Pass
S0363,Female,38,54,5.6,Yes,60,No,68,Pass
S0364,Male,6,89,8.7,No,94,Yes,48,Fail
S0365,Female,18,60,6.7,No,38,No,41,Fail
S0366,Female,8,100,8.5,No,96,Yes,61,Pass
S0367,Male,13,86,7.3,Yes,35,No,41,Fail
S0368,Female,16,52,8.5,Yes,86,Yes,49,Fail
S0369,Female,30,77,6.8,No,50,No,58,Pass
S0370,Female,21,71,8.0,Yes,90,No,56,Pass
S0371,Male,30,95,7.5,Yes,58,Yes,58,Pass
S0372,Female,39,94,8.4,Yes,60,Yes,68,Pass
S0373,Male,23,60,5.4,No,62,No,53,Pass
S0374,Male,26,96,9.0,Yes,68,Yes,60,Pass
S0375,Male,36,89,7.6,No,35,No,64,Pass
S0376,Female,39,97,5.6,Yes,51,Yes,57,Pass
S0377,Male,34,81,4.7,No,36,Yes,37,Fail
S0378,Male,34,58,5.6,No,97,No,72,Pass
S0379,Male,8,50,9.0,No,71,No,33,Fail
S0380,Male,18,92,6.2,No,64,No,46,Fail
S0381,Male,19,98,7.6,Yes,52,Yes,58,Pass
S0382,Female,12,57,7.9,Yes,60,Yes,36,Fail
S0383,Male,23,58,6.0,No,63,Yes,48,Fail
S0384,Male,5,88,6.0,No,66,Yes,54,Pass
S0385,Male,19,77,8.5,Yes,66,No,57,Pass
S0386,Male,23,86,7.7,Yes,61,Yes,47,Fail
S0387,Male,29,95,5.3,No,62,Yes,68,Pass
S0388,Female,24,56,5.7,Yes,64,Yes,47,Fail
S0389,Female,13,88,8.1,No,98,Yes,52,Pass
S0390,Male,18,64,4.9,Yes,67,No,47,Fail
S0391,Male,16,71,4.5,Yes,78,No,43,Fail
S0392,Female,21,81,8.1,No,39,Yes,42,Fail
S0393,Male,37,93,5.4,Yes,69,No,58,Pass
S0394,Female,39,64,5.3,No,71,Yes,58,Pass
S0395,Female,36,87,8.2,No,55,Yes,68,Pass
S0396,Male,35,87,5.0,No,64,No,72,Pass
S0397,Male,19,53,5.9,No,91,No,50,Pass
S0398,Male,33,63,7.2,Yes,50,Yes,53,Pass
S0399,Male,35,73,7.4,No,89,Yes,67,Pass
S0400,Female,33,63,8.5,No,56,Yes,63,Pass
S0401,Female,35,58,9.2,No,55,No,47,Fail
S0402,Male,18,67,5.8,Yes,60,Yes,45,Fail
S0403,Male,34,87,8.6,Yes,59,No,51,Pass
S0404,Female,26,51,6.6,Yes,47,No,47,Fail
S0405,Female,6,97,7.2,Yes,57,No,34,Fail
S0406,Female,31,70,5.3,No,45,No,57,Pass
S0407,Male,30,66,8.0,Yes,40,Yes,52,Pass
S0408,Male,20,75,7.1,Yes,89,No,57,Pass
S0409,Male,34,54,4.7,No,93,Yes,52,Pass
S0410,Male,31,62,8.3,No,53,No,45,Fail
S0411,Male,34,100,6.7,No,59,No,58,Pass
S0412,Male,38,67,7.1,No,97,Yes,64,Pass
S0413,Male,15,91,6.9,Yes,86,No,68,Pass
S0414,Male,35,93,5.1,Yes,93,Yes,84,Pass
S0415,Female,28,86,4.9,No,96,Yes,74,Pass
S0416,Female,17,53,7.8,Yes,64,Yes,42,Fail
S0417,Female,12,97,5.7,Yes,47,Yes,34,Fail
S0418,Male,26,56,5.9,No,92,No,58,Pass
S0419,Female,32,70,6.9,Yes,88,Yes,74,Pass
S0420,Female,10,90,6.7,Yes,94,Yes,49,Fail
S0421,Male,11,56,8.7,No,93,No,42,Fail
S0422,Male,24,98,7.0,No,92,Yes,70,Pass
S0423,Female,11,96,5.2,Yes,88,Yes,52,Pass
S0424,Female,39,59,6.0,Yes,95,No,82,Pass
S0425,Male,20,100,4.5,Yes,98,Yes,61,Pass
S0426,Male,20,90,7.6,No,37,No,46,Fail
S0427,Male,38,54,6.1,No,85,No,72,Pass
S0428,Female,36,55,4.7,Yes,41,No,53,Pass
S0429,Female,11,58,8.5,Yes,31,Yes,38,Fail
S0430,Female,35,81,5.7,No,45,Yes,58,Pass
S0431,Male,27,70,8.4,No,35,No,51,Pass
S0432,Male,37,83,6.1,No,50,No,62,Pass
S0433,Male,7,67,7.4,No,94,Yes,59,Pass
S0434,Female,21,91,7.2,Yes,47,Yes,48,Fail
S0435,Female,17,65,8.4,Yes,100,No,67,Pass
S0436,Female,34,94,6.1,Yes,65,No,71,Pass
S0437,Female,29,74,6.0,No,51,Yes,60,Pass
S0438,Male,11,84,6.2,Yes,59,Yes,53,Pass
S0439,Male,13,80,8.0,Yes,61,No,46,Fail
S0440,Male,8,66,6.8,Yes,74,Yes,38,Fail
S0441,Male,34,84,5.3,No,99,Yes,83,Pass
S0442,Female,21,53,9.4,No,98,Yes,56,Pass
S0443,Male,30,74,7.0,No,35,Yes,45,Fail
S0444,Male,32,68,5.0,Yes,61,No,65,Pass
S0445,Male,12,53,7.2,No,82,No,39,Fail
S0446,Male,37,80,6.2,Yes,95,No,72,Pass
S0447,Female,15,67,5.0,No,93,Yes,46,Fail
S0448,Female,17,85,6.1,No,64,Yes,61,Pass
S0449,Female,16,57,8.8,Yes,95,Yes,46,Fail
S0450,Female,15,68,8.7,No,100,Yes,54,Pass
S0451,Male,13,72,9.0,No,62,Yes,42,Fail
S0452,Female,21,98,6.2,Yes,40,Yes,50,Pass
S0453,Male,7,69,4.9,No,98,No,45,Fail
S0454,Female,37,74,8.3,Yes,83,No,69,Pass
S0455,Female,18,85,8.2,Yes,98,No,63,Pass
S0456,Male,37,77,8.1,Yes,88,Yes,67,Pass
S0457,Male,37,58,6.5,No,47,No,46,Fail
S0458,Female,36,52,6.4,Yes,41,Yes,56,Pass
S0459,Female,34,71,4.6,Yes,71,No,58,Pass
S0460,Male,5,71,7.6,Yes,95,No,54,Pass
S0461,Female,9,73,9.4,No,55,Yes,40,Fail
S0462,Female,19,70,9.3,Yes,79,Yes,52,Pass
S0463,Female,22,86,5.7,No,38,Yes,39,Fail
S0464,Female,26,88,5.0,Yes,75,No,72,Pass
S0465,Female,11,55,6.9,No,37,Yes,32,Fail
S0466,Female,17,95,8.0,No,33,No,35,Fail
S0467,Female,37,85,7.4,Yes,50,Yes,54,Pass
S0468,Male,8,100,7.1,Yes,55,Yes,36,Fail
S0469,Male,19,78,6.4,Yes,54,No,51,Pass
S0470,Male,29,77,9.3,No,92,Yes,66,Pass
S0471,Female,18,58,6.0,No,96,Yes,63,Pass
S0472,Male,18,83,5.5,No,77,Yes,56,Pass
S0473,Male,23,73,7.6,No,62,Yes,52,Pass
S0474,Female,17,52,5.3,No,48,No,47,Fail
